index,title,listed_in,userId,score,movieId
0,the grand seduction,"comedy, drama",543,5.0,as1
1,take care good night,"drama, international",321,3.0,as2
2,secrets of deception,"action, drama, suspense",582,5.0,as3
3,pink: staying true,documentary,151,1.5,as4
4,monster maker,"drama, fantasy",24,5.0,as5
5,living with dinosaurs,"fantasy, kids",161,5.0,as6
6,hired gun,"documentary, special interest",359,5.0,as7
7,grease live!,comedy,60,4.0,as8
8,global meltdown,"action, science fiction, suspense",741,2.5,as9
9,david's mother,drama,230,4.0,as10
10,forest fairies,"adventure, kids",231,2.5,as11
11,take care,comedy,376,3.5,as12
12,the night eats the world,"horror, suspense",41,4.0,as13
13,resilencia,"documentary, sports",201,2.5,as14
14,elon musk: the real life iron man,documentary,160,4.0,as15
15,summer '03,"comedy, drama",9,5.0,as16
16,zoombies,"horror, science fiction",115,5.0,as17
17,zoo babies,"kids, special interest",440,3.0,as18
18,zoë coombs marr: bossy bottom,"comedy, talk show and variety",15,3.5,as19
19,zoe,science fiction,55,5.0,as20
20,zoboomafoo,kids,80,5.0,as21
21,zo zo zombie: mini-series,"action, anime, comedy",166,3.0,as22
22,zis boom bah,"arts, entertainment, and culture, comedy, drama",209,4.0,as23
23,zerozerozero,tv shows,98,3.0,as24
24,zandalee,drama,261,5.0,as25
25,zambezi: force of life,documentary,151,1.0,as26
26,zahara: the return,tv shows,46,2.5,as27
27,z: the beginning of everything,"comedy, drama",68,4.0,as28
28,yu-gi-oh! zexal,"animation, anime, fantasy",741,4.0,as29
29,yu-gi-oh! arc-v,"action, adventure, animation",429,4.5,as30
30,yu-gi-oh! 5d's,"anime, kids",497,3.0,as31
31,your bleeped up brain,tv shows,191,4.0,as32
32,young lovers,drama,231,3.0,as33
33,young love (at the sun factory),music videos and concerts,185,3.0,as34
34,young love (at bowery ballroom),music videos and concerts,229,4.0,as35
35,young lions,"drama, suspense",230,4.0,as36
36,you're not you,drama,259,1.5,as37
37,"you, me and him","comedy, drama",77,4.0,as38
38,yoga with sound meditations,"fitness, special interest",871,2.0,as39
39,yoga to harness your chakra energy,"faith and spirituality, special interest",151,2.0,as40
40,yoga to ease flight anxiety,"fitness, special interest",994,4.0,as41
41,yoga to break any habit,special interest,229,4.0,as42
42,"yoga therapy for back pain, neck pain & stress relief - lindsey samper",fitness,16,4.5,as43
43,yoga savasana relaxation,"fitness, special interest",506,3.5,as44
44,yoga for relaxation anywhere,"fitness, special interest",61,4.5,as45
45,yoga for relaxation and stress relief anywhere,"fitness, special interest",231,3.5,as46
46,yoga for relaxation and stress relief,special interest,24,3.0,as47
47,yoga for mindfulness and meditation,"fitness, special interest",59,2.5,as48
48,yoga for men's health,"fitness, special interest",222,3.5,as49
